report,title,statement,item,n,v1,v2,v3,v4,line
2025年报,星宇股份2025年年度报告,BS,所有者权益（或股东权益）合计,2,11398250467.52,10177262698.24,,,"所有者权益（或股东权益）合计 11,398,250,467.52 10,177,262,698.24"
2025年报,星宇股份2025年年度报告,BS,负债和所有者权益（或股东权益）总计,2,19345227511.87,16944066492.20,,,"19,345,227,511.87 16,944,066,492.20"
2025年报,星宇股份2025年年度报告,IS,营业总收入,2,15256665866.59,13252933664.95,,,"一、营业总收入 15,256,665,866.59 13,252,933,664.95"
2025年报,星宇股份2025年年度报告,IS,其中：营业收入,2,15256665866.59,13252933664.95,,,"其中：营业收入 七、61 15,256,665,866.59 13,252,933,664.95"
2025年报,星宇股份2025年年度报告,IS,营业总成本,2,13630195615.99,11786605064.44,,,"二、营业总成本 13,630,195,615.99 11,786,605,064.44"
2025年报,星宇股份2025年年度报告,IS,其中：营业成本,2,12258946238.23,10697270184.74,,,"其中：营业成本 七、61 12,258,946,238.23 10,697,270,184.74"
2025年报,星宇股份2025年年度报告,IS,税金及附加,2,77606276.87,63289327.26,,,"税金及附加 七、62 77,606,276.87 63,289,327.26"
2025年报,星宇股份2025年年度报告,IS,销售费用,2,62495052.28,55787222.14,,,"销售费用 七、63 62,495,052.28 55,787,222.14"
2025年报,星宇股份2025年年度报告,IS,管理费用,2,352672515.27,303653757.41,,,"管理费用 七、64 352,672,515.27 303,653,757.41"
2025年报,星宇股份2025年年度报告,IS,研发费用,2,883711835.98,655492684.95,,,"研发费用 七、65 883,711,835.98 655,492,684.95"
2025年报,星宇股份2025年年度报告,IS,财务费用,2,-5236302.64,11111887.94,,,"财务费用 七、66 -5,236,302.64 11,111,887.94"
2025年报,星宇股份2025年年度报告,IS,其中：利息费用,2,6903261.80,6409774.12,,,"其中：利息费用 6,903,261.80 6,409,774.12"
2025年报,星宇股份2025年年度报告,IS,利息收入,2,9567377.38,14290253.72,,,"利息收入 9,567,377.38 14,290,253.72"
2025年报,星宇股份2025年年度报告,IS,加：其他收益,2,159100452.64,175570801.29,,,"加：其他收益 七、67 159,100,452.64 175,570,801.29"
2025年报,星宇股份2025年年度报告,IS,投资收益（损失以“－”号填列）,2,1595255.98,773457.44,,,"投资收益（损失以“－”号填列） 七、68 1,595,255.98 773,457.44"
2025年报,星宇股份2025年年度报告,IS,公允价值变动收益（损失以“－”号填列）,2,42498824.61,46428147.44,,,"七、70 42,498,824.61 46,428,147.44"
2025年报,星宇股份2025年年度报告,IS,信用减值损失（损失以“-”号填列）,2,-288040.77,-56957382.01,,,"信用减值损失（损失以“-”号填列） 七、71 -288,040.77 -56,957,382.01"
2025年报,星宇股份2025年年度报告,IS,资产减值损失（损失以“-”号填列）,2,-10499896.98,-26330973.58,,,"资产减值损失（损失以“-”号填列） 七、72 -10,499,896.98 -26,330,973.58"
2025年报,星宇股份2025年年度报告,IS,资产处置收益（损失以“－”号填列）,2,-1359207.29,-11705340.89,,,"资产处置收益（损失以“－”号填列） 七、73 -1,359,207.29 -11,705,340.89"
