dataset,n,digit,observed,p_observed,p_benford,expected,diff,z,excess_ratio
E 现金流量表（本期列）,387,6,28,0.072351,0.066947,25.91,+0.005405,+0.425,1.0807
E 现金流量表（本期列）,387,7,33,0.085271,0.057992,22.44,+0.027279,+2.296,1.4704
E 现金流量表（本期列）,387,8,23,0.059432,0.051153,19.80,+0.008279,+0.739,1.1618
E 现金流量表（本期列）,387,9,19,0.049096,0.045757,17.71,+0.003338,+0.314,1.0730
F1 2015年报~2019年报,535,1,132,0.246729,0.301030,161.05,-0.054301,-2.738,0.8196
F1 2015年报~2019年报,535,2,117,0.218692,0.176091,94.21,+0.042600,+2.587,1.2419
F1 2015年报~2019年报,535,3,71,0.132710,0.124939,66.84,+0.007772,+0.544,1.0622
F1 2015年报~2019年报,535,4,64,0.119626,0.096910,51.85,+0.022716,+1.776,1.2344
F1 2015年报~2019年报,535,5,40,0.074766,0.079181,42.36,-0.004415,-0.378,0.9442
F1 2015年报~2019年报,535,6,33,0.061682,0.066947,35.82,-0.005265,-0.487,0.9214
F1 2015年报~2019年报,535,7,34,0.063551,0.057992,31.03,+0.005559,+0.550,1.0959
F1 2015年报~2019年报,535,8,21,0.039252,0.051153,27.37,-0.011900,-1.249,0.7674
F1 2015年报~2019年报,535,9,23,0.042991,0.045757,24.48,-0.002767,-0.306,0.9395
F2 2020年报~2025年报,644,1,222,0.344720,0.301030,193.86,+0.043691,+2.417,1.1451
F2 2020年报~2025年报,644,2,87,0.135093,0.176091,113.40,-0.040998,-2.731,0.7672
F2 2020年报~2025年报,644,3,86,0.133540,0.124939,80.46,+0.008602,+0.660,1.0688
F2 2020年报~2025年报,644,4,58,0.090062,0.096910,62.41,-0.006848,-0.587,0.9293
F2 2020年报~2025年报,644,5,45,0.069876,0.079181,50.99,-0.009305,-0.875,0.8825
F2 2020年报~2025年报,644,6,39,0.060559,0.066947,43.11,-0.006388,-0.649,0.9046
F2 2020年报~2025年报,644,7,37,0.057453,0.057992,37.35,-0.000539,-0.058,0.9907
F2 2020年报~2025年报,644,8,37,0.057453,0.051153,32.94,+0.006301,+0.726,1.1232
F2 2020年报~2025年报,644,9,33,0.051242,0.045757,29.47,+0.005485,+0.666,1.1199
末位数字（0-9 均匀性）,1309,0,100,0.076394,0.100000,130.90,-0.023606,-2.847,0.7639
末位数字（0-9 均匀性）,1309,1,151,0.115355,0.100000,130.90,+0.015355,+1.852,1.1536
末位数字（0-9 均匀性）,1309,2,137,0.104660,0.100000,130.90,+0.004660,+0.562,1.0466
末位数字（0-9 均匀性）,1309,3,130,0.099312,0.100000,130.90,-0.000688,-0.083,0.9931
末位数字（0-9 均匀性）,1309,4,137,0.104660,0.100000,130.90,+0.004660,+0.562,1.0466
末位数字（0-9 均匀性）,1309,5,113,0.086325,0.100000,130.90,-0.013675,-1.649,0.8633
末位数字（0-9 均匀性）,1309,6,126,0.096257,0.100000,130.90,-0.003743,-0.451,0.9626
末位数字（0-9 均匀性）,1309,7,139,0.106188,0.100000,130.90,+0.006188,+0.746,1.0619
末位数字（0-9 均匀性）,1309,8,130,0.099312,0.100000,130.90,-0.000688,-0.083,0.9931
末位数字（0-9 均匀性）,1309,9,146,0.111536,0.100000,130.90,+0.011536,+1.391,1.1154
