report,title,statement,item,n,v1,v2,v3,v4,line
2015年报,2015年年度报告,IS,营业总收入,2,"2,467,518,342.94","2,016,023,652.51",,,"一、营业总收入 七、59 2,467,518,342.94 2,016,023,652.51"
2015年报,2015年年度报告,IS,其中：营业收入,2,"2,467,518,342.94","2,016,023,652.51",,,"其中：营业收入 2,467,518,342.94 2,016,023,652.51"
2015年报,2015年年度报告,IS,营业总成本,2,"2,187,837,610.04","1,752,813,959.23",,,"二、营业总成本 2,187,837,610.04 1,752,813,959.23"
2015年报,2015年年度报告,IS,其中：营业成本,2,"1,888,726,111.83","1,531,255,564.95",,,"其中：营业成本 1,888,726,111.83 1,531,255,564.95"
2015年报,2015年年度报告,IS,营业税金及附加,2,"10,108,145.31","8,651,887.09",,,"营业税金及附加 七、60 10,108,145.31 8,651,887.09"
2015年报,2015年年度报告,IS,销售费用,2,"99,674,424.59","76,417,821.66",,,"销售费用 七、61 99,674,424.59 76,417,821.66"
2015年报,2015年年度报告,IS,管理费用,2,"189,773,193.52","142,388,259.87",,,"管理费用 七、62 189,773,193.52 142,388,259.87"
2015年报,2015年年度报告,IS,财务费用,2,"-1,789,999.22","-4,490,475.79",,,"财务费用 七、63 -1,789,999.22 -4,490,475.79"
2015年报,2015年年度报告,IS,资产减值损失,2,"1,345,734.01","-1,409,098.55",,,"资产减值损失 七、64 1,345,734.01 -1,409,098.55"
2015年报,2015年年度报告,IS,投资收益（损失以“－”号填列）,2,"41,489,974.54","47,118,771.53",,,"投资收益（损失以“－”号填列） 七、66 41,489,974.54 47,118,771.53"
2015年报,2015年年度报告,IS,营业利润（亏损以“－”号填列）,2,"321,170,707.44","310,328,464.81",,,"三、营业利润（亏损以“－”号填列） 321,170,707.44 310,328,464.81"
2015年报,2015年年度报告,IS,加：营业外收入,2,"20,695,257.31","8,912,595.75",,,"加：营业外收入 七、67 20,695,257.31 8,912,595.75"
2015年报,2015年年度报告,IS,其中：非流动资产处置利得,1,"122,793.48",,,,"其中：非流动资产处置利得 122,793.48"
2015年报,2015年年度报告,IS,减：营业外支出,2,"3,206,397.07","3,461,432.96",,,"减：营业外支出 七、68 3,206,397.07 3,461,432.96"
2015年报,2015年年度报告,IS,其中：非流动资产处置损失,2,"1,229,234.41","117,628.08",,,"其中：非流动资产处置损失 1,229,234.41 117,628.08"
2015年报,2015年年度报告,IS,利润总额（亏损总额以“－”号填列）,2,"338,659,567.68","315,779,627.60",,,"四、利润总额（亏损总额以“－”号填列） 338,659,567.68 315,779,627.60"
2015年报,2015年年度报告,IS,减：所得税费用,2,"44,909,076.03","43,372,437.55",,,"减：所得税费用 七、69 44,909,076.03 43,372,437.55"
2015年报,2015年年度报告,IS,净利润（净亏损以“－”号填列）,2,"293,750,491.65","272,407,190.05",,,"五、净利润（净亏损以“－”号填列） 293,750,491.65 272,407,190.05"
2015年报,2015年年度报告,IS,归属于母公司所有者的净利润,2,"293,484,635.16","272,703,747.13",,,"归属于母公司所有者的净利润 293,484,635.16 272,703,747.13"
2015年报,2015年年度报告,IS,少数股东损益,2,"265,856.49","-296,557.08",,,"少数股东损益 265,856.49 -296,557.08"
2015年报,2015年年度报告,IS,其他综合收益的税后净额,2,"1,528,585.35","-2,141,508.86",,,"六、其他综合收益的税后净额 1,528,585.35 -2,141,508.86"
2015年报,2015年年度报告,IS,归属母公司所有者的其他综合收益的税后净额,2,"1,283,530.95","-1,656,681.36",,,"1,283,530.95 -1,656,681.36"
2015年报,2015年年度报告,IS,以后将重分类进损益的其他综合收益,2,"1,283,530.95","-1,656,681.36",,,"1,283,530.95 -1,656,681.36"
2015年报,2015年年度报告,IS,外币财务报表折算差额,2,"1,283,530.95","-1,656,681.36",,,"5.外币财务报表折算差额 1,283,530.95 -1,656,681.36"
2015年报,2015年年度报告,IS,归属于少数股东的其他综合收益的税后净额,2,"245,054.40","-484,827.50",,,"245,054.40 -484,827.50"
2015年报,2015年年度报告,IS,综合收益总额,2,"295,279,077.00","270,265,681.19",,,"七、综合收益总额 295,279,077.00 270,265,681.19"
2015年报,2015年年度报告,IS,归属于母公司所有者的综合收益总额,2,"294,768,166.11","271,047,065.77",,,"归属于母公司所有者的综合收益总额 294,768,166.11 271,047,065.77"
2015年报,2015年年度报告,IS,归属于少数股东的综合收益总额,2,"510,910.89","-781,384.58",,,"归属于少数股东的综合收益总额 510,910.89 -781,384.58"
2015年报,2015年年度报告,IS,基本每股收益(元/股),2,1.2246,1.1378,,,（一）基本每股收益(元/股) 1.2246 1.1378
